%------------ Rayleigh Benard grid32 full label results
% Ra, delta, label, KE(end), VTY(end), flag
1300,1e-16,0,1.81943e-09,1.15358e-08,1
1300,1e-12,0,7.56119e-14,4.78053e-13,1
1300,1e-08,0,6.26678e-10,4.03506e-09,0
1300,1e-05,0,6.26675e-07,4.03504e-06,0
1300,0.0001,0,6.26676e-06,4.03505e-05,0
1300,0.001,0,6.26669e-05,0.0004035,0
1300,0.01,0,0.000625795,0.0040295,0
1305,1e-16,0,1.4185e-11,8.99377e-11,1
1305,1e-12,0,6.27788e-14,3.97189e-13,1
1305,1e-08,0,6.42421e-10,4.13448e-09,0
1305,1e-05,0,6.42416e-07,4.13446e-06,0
1305,0.0001,0,6.42418e-06,4.13447e-05,0
1305,0.001,0,6.42409e-05,0.000413441,0
1305,0.01,0,0.000641436,0.00412828,0
1310,1e-16,0,1.87905e-15,1.19802e-14,1
1310,1e-12,0,4.29225e-14,2.79427e-13,1
1310,1e-08,0,6.58939e-10,4.23882e-09,0
1310,1e-05,0,6.58934e-07,4.23879e-06,0
1310,0.0001,0,6.58935e-06,4.2388e-05,0
1310,0.001,0,6.58926e-05,0.000423874,0
1310,0.01,0,0.000657841,0.00423191,0
1315,1e-16,0,5.32692e-16,3.43485e-15,1
1315,1e-12,0,6.70403e-14,4.31107e-13,1
1315,1e-08,0,6.76292e-10,4.34844e-09,0
1315,1e-05,0,6.76287e-07,4.34842e-06,0
1315,0.0001,0,6.76287e-06,4.34842e-05,0
1315,0.001,0,6.76278e-05,0.000434836,0
1315,0.01,0,0.000675065,0.00434072,0
1320,1e-16,0,8.28195e-17,1.11649e-15,0
1320,1e-12,0,7.0169e-14,4.50893e-13,0
1320,1e-08,0,6.94545e-10,4.46377e-09,0
1320,1e-05,0,6.94541e-07,4.46375e-06,0
1320,0.0001,0,6.94541e-06,4.46374e-05,0
1320,0.001,0,6.9453e-05,0.000446368,0
1320,0.01,0,0.00069317,0.00445511,0
1325,1e-16,0,1.16306e-15,7.38594e-15,0
1325,1e-12,0,7.07912e-14,4.54853e-13,0
1325,1e-08,0,7.1377e-10,4.58525e-09,0
1325,1e-05,0,7.13766e-07,4.58523e-06,0
1325,0.0001,0,7.13766e-06,4.58523e-05,0
1325,0.001,0,7.13753e-05,0.000458515,0
1325,0.01,0,0.000712225,0.00457551,0
1330,1e-16,0,1.90691e-15,1.75377e-14,0
1330,1e-12,0,1.23044e-13,7.85178e-13,0
1330,1e-08,0,7.34045e-10,4.71338e-09,0
1330,1e-05,0,7.3405e-07,4.71342e-06,0
1330,0.0001,0,7.34041e-06,4.71336e-05,0
1330,0.001,0,7.34027e-05,0.000471327,0
1330,0.01,0,0.000732304,0.00470241,0
1335,1e-16,0,3.79628e-15,2.42483e-14,0
1335,1e-12,0,7.48249e-14,4.80293e-13,0
1335,1e-08,0,7.55458e-10,4.84873e-09,0
1335,1e-05,0,7.55465e-07,4.84877e-06,0
1335,0.0001,0,7.55466e-06,4.84878e-05,0
1335,0.001,0,7.55442e-05,0.000484863,0
1335,0.01,0,0.000753492,0.00483633,0
1340,1e-16,0,7.88928e-16,5.05116e-15,0
1340,1e-12,0,8.00818e-14,5.13513e-13,0
1340,1e-08,0,7.78111e-10,4.99192e-09,0
1340,1e-05,0,7.78117e-07,4.99197e-06,0
1340,0.0001,0,7.78118e-06,4.99197e-05,0
1340,0.001,0,7.78091e-05,0.00049918,0
1340,0.01,0,0.000775881,0.00497786,0
1345,1e-16,0,1.06159e-15,6.80811e-15,0
1345,1e-12,0,7.86598e-14,5.04535e-13,0
1345,1e-08,0,8.02108e-10,5.14364e-09,0
